week,avg_sentiment,positive_count,negative_count,neutral_count,total
2019-01-21,0.0,0,0,1,1
2020-03-30,0.0,0,0,1,1
2020-04-06,-0.0516,0,1,0,1
2020-12-21,0.0,0,0,1,1
2021-03-22,-0.1027,0,1,0,1
2021-03-29,0.4404,1,0,0,1
2021-05-10,0.0,0,0,1,1
2021-08-30,0.0,0,0,1,1
2021-11-01,0.0,0,0,1,1
2022-01-10,0.0,0,0,1,1
2022-01-24,0.0,0,0,1,1
2022-01-31,-0.128,0,1,0,1
2022-04-25,0.8832,1,0,0,1
2023-02-20,0.7003,1,0,0,1
2023-07-10,0.0,0,0,1,1
2023-07-17,0.16731666666666667,14,5,5,24
2023-07-24,0.22850937500000001,18,6,8,32
2023-07-31,0.35045128205128206,25,5,9,39
2023-08-14,0.4404,1,0,0,1
2023-09-18,-0.7003,0,1,0,1
2024-01-01,0.4404,1,0,0,1
2024-02-19,0.4199,1,0,0,1
2024-03-04,0.3980666666666666,2,1,0,3
2024-03-11,0.9287,1,0,0,1
2024-04-01,0.0,0,0,1,1
2024-04-08,0.6705,1,0,0,1
2024-05-13,0.9749,1,0,0,1
2024-06-10,0.0,0,0,1,1
2024-06-17,0.569409090909091,9,0,2,11
2024-06-24,0.77685,2,0,0,2
2024-07-01,0.428425,2,0,2,4
2024-07-08,0.5906333333333333,2,0,1,3
2024-07-15,0.5303599999999999,4,0,1,5
2024-07-29,0.0,0,0,1,1
2024-08-19,0.9042,1,0,0,1
2024-09-02,0.0,0,0,1,1
2024-09-09,0.4588,1,0,0,1
2024-09-16,0.6588,1,0,0,1
2024-09-23,0.47223333333333334,2,0,1,3
2024-09-30,0.0,0,0,2,2
2024-10-07,0.0,0,0,2,2
2024-10-21,0.3343642857142857,8,1,5,14
2024-10-28,0.56565,4,0,0,4
2024-11-04,0.94985,2,0,0,2
2024-11-11,0.0,0,0,1,1
2024-11-18,0.0,0,0,1,1
2024-11-25,0.418225,9,0,3,12
2024-12-02,0.34215064935064937,52,10,15,77
2024-12-09,0.44605,1,0,1,2
2024-12-30,0.2655666666666667,2,1,0,3
2025-01-06,0.892,1,0,0,1
2025-01-13,0.0,0,0,2,2
2025-01-20,0.661,2,0,0,2
2025-01-27,0.6258,4,0,0,4
2025-02-03,0.8833,2,0,0,2
2025-02-10,0.7501,1,0,0,1
2025-02-17,0.6369,1,0,0,1
2025-02-24,0.40747777777777777,7,1,1,9
2025-03-03,0.8899,1,0,0,1
2025-03-10,0.42364999999999997,2,0,2,4
2025-03-17,0.0,0,0,1,1
2025-03-24,0.5592,2,0,1,3
2025-04-07,0.65635,2,0,0,2
2025-04-14,0.0,0,0,2,2
2025-04-28,0.36995,1,0,1,2
2025-05-05,0.66765,3,1,0,4
2025-05-12,-0.4215,0,1,0,1
2025-05-19,0.26397,6,1,3,10
2025-05-26,0.0772,1,0,0,1
2025-06-02,0.13297777777777778,4,2,3,9
2025-06-09,0.39268333333333333,4,0,2,6
2025-06-16,0.6007714285714286,6,0,1,7
2025-06-23,0.5217,3,1,1,5
2025-06-30,0.5293,1,0,0,1
2025-07-07,0.6047166666666667,5,1,0,6
2025-07-14,0.033150000000000006,2,2,2,6
2025-07-21,0.5076875000000001,6,1,1,8
2025-07-28,0.43927777777777777,7,1,1,9
2025-08-04,0.33294285714285715,5,0,2,7
2025-08-11,0.7998333333333334,6,0,0,6
2025-08-18,0.209675,5,1,2,8
2025-08-25,0.28030000000000005,3,0,0,3
2025-09-01,0.52494,4,0,1,5
2025-09-08,0.88135,6,0,0,6
2025-09-15,0.5816666666666667,3,0,0,3
2025-09-22,0.43176000000000003,4,1,0,5
2025-09-29,0.6046,13,1,2,16
2025-10-06,0.709325,3,0,1,4
2025-10-13,0.6786916666666666,10,0,2,12
2025-10-20,0.2136,3,2,1,6
2025-10-27,0.14578888888888888,3,2,4,9
2025-11-03,0.4872375,6,2,0,8
2025-11-10,-0.1598,1,2,1,4
2025-11-17,0.22468888888888885,5,4,0,9
2025-11-24,0.49125,10,1,3,14
2025-12-01,0.42373636363636363,8,2,1,11
2025-12-08,0.27524,6,3,1,10
2025-12-15,0.2029857142857143,8,5,1,14
2025-12-22,0.36063999999999996,8,1,1,10
2025-12-29,0.4412888888888889,6,1,2,9
2026-01-05,0.32655,7,3,2,12
2026-01-12,0.179775,5,3,4,12
2026-01-19,0.038239999999999996,2,2,1,5
2026-01-26,0.5777142857142857,7,0,0,7
2026-02-02,0.34161363636363634,15,4,3,22
2026-02-09,0.37101249999999997,16,2,6,24
2026-02-16,0.4399551724137931,20,0,9,29
2026-02-23,0.16525119047619047,39,23,22,84
2026-03-02,0.3030060606060606,33,13,20,66
2026-03-09,0.45516593406593403,63,11,17,91
2026-03-16,0.430812048192771,63,12,8,83
2026-03-23,0.31020281690140844,83,28,31,142
2026-03-30,0.3608187234042553,478,147,80,705
